iter	RMSE
0	1.447880758
1	1.335804496
2	1.236877617
3	1.146039918
4	1.064564579
5	0.9864768744
6	0.9217004495
7	0.8587756918
8	0.799854257
9	0.7477210031
10	0.6989648473
11	0.6612193636
12	0.6227833179
13	0.5878110871
14	0.5557063002
15	0.5259328659
16	0.4971901114
17	0.4720204246
18	0.4483611459
19	0.4265182355
20	0.4073313105
21	0.3889183051
22	0.3713214553
23	0.355676176
24	0.3416090098
25	0.3277342057
26	0.3147175445
27	0.304131184
28	0.2935988151
29	0.2825449652
30	0.2726144508
31	0.2630968636
32	0.2543998034
33	0.245895808
34	0.2382095045
35	0.2313345519
36	0.2238231919
37	0.2169165847
38	0.2114035469
39	0.2083607485
40	0.2024267345
41	0.1974201565
42	0.1917695593
43	0.1870205383
44	0.182364609
45	0.1785978915
46	0.1744622099
47	0.1706453085
48	0.1676847906
49	0.1642303518
50	0.1614039269
51	0.1587452169
52	0.1555050631
53	0.1540991974
54	0.1509315358
55	0.1478076673
56	0.1466650131
57	0.1441455517
58	0.1421637086
59	0.1410628042
60	0.1389332149
61	0.1377940837
62	0.1361350372
63	0.1345013947
64	0.1328589029
65	0.1311371419
66	0.1290478398
67	0.1271492839
68	0.1258461759
69	0.124427293
70	0.1233449533
71	0.1211934637
72	0.1197085417
73	0.1189050466
74	0.1171557717
75	0.1161716259
76	0.115946898
77	0.1143855306
78	0.1138354307
79	0.1125353024
80	0.1119074684
81	0.1108387134
82	0.1094756024
83	0.1082228669
84	0.1070715357
85	0.1063181234
86	0.1055238198
87	0.1052559785
88	0.1042488558
89	0.1031419113
90	0.1021378933
91	0.1010781735
92	0.1010394727
93	0.1010324057
94	0.1003425057
95	0.0994361049
96	0.09870346218
97	0.09869720117
98	0.09781495158
99	0.09740488868
100	0.09630559209
101	0.09534255619
102	0.09450992215
103	0.09373549478
104	0.09340103029
105	0.09284245774
106	0.09219664621
107	0.09165704701
108	0.09137719129
109	0.09028688033
110	0.08925070053
111	0.0886521401
112	0.08808310683
113	0.08730860048
114	0.08698072201
115	0.0865751536
116	0.08609142962
117	0.08597678823
118	0.08554422821
119	0.08505497317
120	0.08429574718
121	0.08352990249
122	0.08272244285
123	0.08211521296
124	0.08198436776
125	0.08144580077
126	0.08098946541
127	0.08053150568
128	0.0798902605
129	0.0793306046
130	0.07895023656
131	0.07881242396
132	0.07845828767
133	0.07805721453
134	0.07786373212
135	0.07737230852
136	0.07683276822
137	0.07618182171
138	0.07575319051
139	0.07554667893
140	0.07501837274
141	0.07464548292
142	0.07422057263
143	0.07383366718
144	0.07348211383
145	0.07334853932
146	0.07326583827
147	0.07305900272
148	0.07292070288
149	0.07270094129
150	0.07242532434
151	0.07202609867
152	0.07157255276
153	0.07131514565
154	0.07088391815
155	0.07036242177
156	0.06999407063
157	0.06959850471
158	0.06931026491
159	0.06921052242
160	0.06886451094
161	0.06873583994
162	0.06852011579
163	0.06841129281
164	0.06817002247
165	0.06786305061
166	0.06768791601
167	0.06755123539
168	0.0672399395
169	0.06715121493
170	0.0668637073
171	0.06662076235
172	0.06653470736
173	0.06640808539
174	0.06634627597
175	0.06610832174
176	0.06610819273
177	0.06608825761
178	0.06579662305
179	0.06550619314
180	0.06519667816
181	0.06498839495
182	0.06480853303
183	0.06469107221
184	0.0645750255
185	0.06441179869
186	0.06430457778
187	0.06410730362
188	0.06410718441
189	0.06408870067
190	0.06384331596
191	0.06356288991
192	0.06337897136
193	0.06337886885
194	0.06318773844
195	0.06300900558
196	0.06289190378
197	0.06271081987
198	0.06265739883
199	0.0623795296
200	0.06236517495
201	0.06219073558
202	0.06205239804
203	0.06197839735
204	0.06195226775
205	0.06178629761
206	0.06170189864
207	0.06155391431
208	0.06153652956
209	0.06138336451
210	0.06138277532
211	0.06130902469
212	0.06119119971
213	0.06104776627
214	0.06087752165
215	0.06068884024
216	0.06062070369
217	0.06060818711
218	0.06047042989
219	0.06029323155
220	0.06009056648
221	0.05993103336
222	0.05986286993
223	0.05981389541
224	0.05981211365
225	0.05962650382
226	0.05954593022
227	0.05934251465
228	0.05934027581
229	0.05933975023
230	0.05932946864
231	0.05930107219
232	0.05912841687
233	0.05906245371
234	0.05891088587
235	0.0587541778
236	0.05860075936
237	0.05844553233
238	0.05830102413
239	0.058266256
240	0.05812375748
241	0.05809472354
242	0.05800076873
243	0.05781372073
244	0.05768912734
245	0.05756083609
246	0.0574644295
247	0.05739926268
248	0.05737283879
249	0.05716431347
250	0.05703902247
251	0.0569112615
252	0.05678517116
253	0.05678486858
254	0.05664027072
255	0.05663807166
256	0.0566360223
257	0.05650334111
258	0.05650297401
259	0.05637194165
260	0.05637171646
261	0.05632776877
262	0.0561978544
263	0.05615886237
264	0.05615879006
265	0.05607392089
266	0.05603081909
267	0.05593291489
268	0.055784014
269	0.05572324979
270	0.05565841335
271	0.05562651803
272	0.05562056775
273	0.05546244616
274	0.05533498561
275	0.0553348778
276	0.05523038334
277	0.05523036181
278	0.05523031027
279	0.05511483326
280	0.05504958043
281	0.05504932985
282	0.05490331686
283	0.05490122036
284	0.0548344058
285	0.05482287524
286	0.05469269111
287	0.05457279708
288	0.05445823248
289	0.05445626413
290	0.05433516616
291	0.05422945218
292	0.05414183399
293	0.05405379641
294	0.05394586864
295	0.05392527892
296	0.05381010762
297	0.05380840042
298	0.05369377266
299	0.05356400214
300	0.05352942977
301	0.05343489242
302	0.05335045285
303	0.05325016856
304	0.05321549585
305	0.05318054655
306	0.05317879202
307	0.05310062864
308	0.05301304201
309	0.05297655598
310	0.05285909301
311	0.05284636115
312	0.05272388654
313	0.05272204899
314	0.05270317988
315	0.05260738359
316	0.05255530982
317	0.05252696774
318	0.05249564113
319	0.05239625239
320	0.05238102259
321	0.05236836783
322	0.05230711741
323	0.05227331458
324	0.05216769055
325	0.05204406757
326	0.0519513209
327	0.05183536747
328	0.05182579068
329	0.05173729935
330	0.05159476047
331	0.05149761358
332	0.05140350999
333	0.05130403655
334	0.05129749759
335	0.05123719274
336	0.05115300494
337	0.05114057808
338	0.05113894012
339	0.05107367019
340	0.05096760253
341	0.0509675197
342	0.05095809916
343	0.0509580286
344	0.0509377385
345	0.05091152699
346	0.0508462804
347	0.05080911552
348	0.05076953146
349	0.05069118805
350	0.05056076989
351	0.05045200146
352	0.05037681745
353	0.05031258319
354	0.05025818233
355	0.05018884029
356	0.05018717757
357	0.05008386209
358	0.05006218808
359	0.04998914117
360	0.04993759456
361	0.04984418983
362	0.0498368223
363	0.04971866691
364	0.0496951676
365	0.04967709595
366	0.04957357385
367	0.04953462431
368	0.04951303172
369	0.04946759707
370	0.04939897024
371	0.04939294747
372	0.04929933616
373	0.04920330664
374	0.04911467792
375	0.04908561713
376	0.04903159052
377	0.04891295849
378	0.04881687869
379	0.04874129595
380	0.04871746004
381	0.04866057128
382	0.04865531815
383	0.04860891338
384	0.04852931383
385	0.04851726094
386	0.04850832523
387	0.04842335188
388	0.04833994415
389	0.0482501292
390	0.04816982964
391	0.04809039166
392	0.04807836908
393	0.04801188432
394	0.04797245013
395	0.04789497599
396	0.04787077948
397	0.0478454342
398	0.04784490484
399	0.04778424845
400	0.0477111194
401	0.04765781062
402	0.04757556685
403	0.04750065372
404	0.04740405423
405	0.04734035652
406	0.04726163694
407	0.04718206549
408	0.04712934844
409	0.04705366601
410	0.04701082671
411	0.04700017178
412	0.04692834226
413	0.0468823712
414	0.04680691795
415	0.04673907732
416	0.04666976225
417	0.04660712257
418	0.04654508631
419	0.04647357195
420	0.04638803892
421	0.04634505987
422	0.0462570275
423	0.04625334936
424	0.04620916941
425	0.04614224932
426	0.04605783498
427	0.04597465799
428	0.04590098004
429	0.04582528256
430	0.0457431098
431	0.0456903239
432	0.04560169013
433	0.04557261947
434	0.04550853452
435	0.04545618672
436	0.04540984671
437	0.04538425137
438	0.04532449682
439	0.04526971187
440	0.04521073381
441	0.0451302625
442	0.04505512579
443	0.04503607255
444	0.04499531075
445	0.044985625
446	0.04496835037
447	0.04488546748
448	0.04487177044
449	0.04481131875
450	0.04475975896
451	0.04468765069
452	0.04466908825
453	0.04460980454
454	0.04457335653
455	0.04457239944
456	0.0445368519
457	0.044502017
458	0.04448114424
459	0.04445538827
460	0.04444817109
461	0.04442018128
462	0.04435875029
463	0.04427890535
464	0.04425058674
465	0.04420047442
466	0.04413404075
467	0.04406874702
468	0.04401712228
469	0.04395145408
470	0.04390435591
471	0.0438803479
472	0.04387231666
473	0.04382935532
474	0.04378050164
475	0.0437296362
476	0.04370628209
477	0.0436796691
478	0.04361041947
479	0.04360658114
480	0.04357609774
481	0.04351190212
482	0.04345000811
483	0.04344305462
484	0.04339889612
485	0.0433485564
486	0.04329139812
487	0.0432278123
488	0.04318332477
489	0.04314689474
490	0.04310726353
491	0.04309237684
492	0.0430309311
493	0.0429819686
494	0.04295943826
495	0.04292096965
496	0.04287448695
497	0.04282843453
498	0.04275378191
499	0.04269677078
